code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;Česká str.sociálně demokrat.;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů;-
Abertamy;554979;795;366;366;39;2;32;29;24;6;12;7;0;1;36;1;19;96;0;11;0;0;5;44;2;-
Andělská Hora;538001;269;188;188;17;0;8;6;13;2;1;0;1;0;18;0;16;70;0;2;0;0;1;30;3;-
Bečov nad Teplou;554995;779;440;437;32;9;21;25;35;0;4;6;1;0;35;0;12;154;0;53;4;1;2;42;1;-
Bochov;555029;1598;826;819;70;11;83;31;94;7;9;6;0;2;57;2;33;257;1;30;2;3;2;116;3;-
Boží Dar;506486;232;172;169;29;1;6;20;2;3;3;2;0;1;22;1;21;40;0;4;2;2;0;8;2;-
Božičany;555045;476;239;237;9;0;19;18;19;1;7;1;0;2;22;0;5;89;2;3;2;2;3;33;0;-
Bražec;500101;213;94;91;4;0;15;2;7;0;1;1;0;0;5;1;1;22;0;2;0;0;1;25;4;-
Březová;537870;440;266;263;22;0;25;15;9;3;0;2;2;2;33;1;12;70;0;7;5;1;1;51;2;-
Černava;538019;258;155;155;19;2;5;8;14;0;0;2;0;0;5;0;1;61;1;0;0;1;1;35;0;-
Čichalov;506621;143;72;71;4;0;2;11;17;0;2;0;0;0;9;0;1;14;0;3;1;0;0;7;0;-
Dalovice;537918;1584;987;983;125;3;45;67;64;15;11;7;1;1;109;4;48;323;9;16;3;3;9;117;3;-
Děpoltovice;538116;319;211;209;25;1;8;12;15;2;3;3;0;0;33;0;3;87;0;1;1;0;0;15;0;-
Doupovské Hradiště;500127;136;75;74;0;0;4;3;9;0;2;1;0;0;5;0;1;36;0;0;1;1;0;11;0;-
Hájek;538159;457;308;306;43;11;20;15;19;1;4;9;2;0;29;0;13;92;0;9;2;1;2;33;1;-
Horní Blatná;555169;310;181;180;51;4;6;14;11;1;3;0;0;0;13;0;8;33;0;3;3;1;0;29;0;-
Hory;551651;214;127;126;14;1;13;17;5;1;3;3;0;0;10;0;3;34;0;3;3;0;0;16;0;-
Hroznětín;555185;1585;856;847;71;0;60;43;76;4;11;7;0;4;73;2;35;270;0;18;4;5;6;154;4;-
Chodov;578011;93;52;52;1;0;10;3;3;0;1;1;0;0;2;0;1;14;0;1;0;0;1;14;0;-
Chyše;555207;468;286;284;15;0;19;14;20;3;1;0;1;0;23;0;13;131;0;4;1;1;0;34;4;-
Jáchymov;555215;2208;1105;1094;122;21;111;45;82;12;9;7;0;1;72;2;64;348;3;46;6;1;4;132;6;-
Jenišov;537926;657;451;447;103;1;29;36;18;2;1;5;0;2;54;0;34;109;2;6;5;3;1;34;2;-
Karlovy Vary;554961;37610;21332;21182;2232;88;1380;1408;1324;260;169;257;19;78;2532;20;1154;7055;36;475;209;67;39;2331;49;-
Kolová;555258;588;368;366;58;1;24;20;16;3;6;2;0;1;55;3;37;93;0;14;3;0;0;29;1;-
Krásné Údolí;555304;340;157;155;17;2;2;3;15;0;3;2;0;1;10;0;2;69;2;1;1;1;1;23;0;-
Krásný Les;578045;262;177;176;24;5;12;13;7;1;4;5;1;0;12;0;8;61;0;4;1;0;0;17;1;-
Kyselka;555347;654;356;353;29;2;14;31;30;4;3;3;1;0;24;0;15;127;1;11;0;1;2;54;1;-
Merklín;555363;783;432;426;42;3;25;21;35;11;9;6;1;0;42;1;8;144;0;6;14;0;1;53;4;-
Mírová;537934;253;172;172;26;0;11;12;6;1;3;3;0;0;21;0;4;60;0;4;0;0;0;20;1;-
Nejdek;555380;6248;3052;3028;260;9;232;136;183;64;35;27;2;3;299;2;87;1117;7;98;15;5;18;378;51;-
Nová Role;555398;3382;1991;1973;163;10;161;223;112;23;15;30;3;5;178;0;65;662;3;28;8;7;16;249;12;-
Nové Hamry;506494;287;203;201;24;0;7;15;17;1;0;11;1;1;14;1;7;69;0;0;0;0;8;23;2;-
Ostrov;555428;14090;7635;7577;738;35;500;326;627;96;117;101;23;16;794;6;276;2580;28;191;47;42;17;976;41;-
Otovice;537969;692;511;506;64;12;23;32;28;2;6;8;2;1;55;2;27;174;0;9;3;1;5;52;0;-
Otročín;555444;394;200;195;8;0;15;4;29;0;5;4;2;0;13;1;3;55;2;30;4;0;0;20;0;-
Pernink;555452;535;306;305;42;1;14;31;19;5;5;0;0;0;34;1;16;93;0;6;2;1;1;34;0;-
Pila;556947;410;268;266;17;3;32;16;22;5;3;1;1;0;25;1;8;94;0;7;3;0;0;27;1;-
Potůčky;555479;253;144;142;27;0;15;9;18;2;3;2;0;0;10;0;8;15;2;0;0;0;0;30;1;-
Pšov;555525;462;198;198;6;1;19;12;19;1;1;1;0;0;15;0;0;80;0;9;1;0;0;32;1;-
Sadov;555533;991;598;590;87;4;29;38;30;3;6;5;0;2;61;2;29;187;0;13;4;0;8;80;2;-
Smolné Pece;538027;136;92;92;24;2;5;5;0;5;0;1;0;0;3;0;3;34;1;1;0;0;0;8;0;-
Stanovice;555550;501;277;274;25;1;8;23;21;1;2;5;0;1;25;1;17;102;1;9;1;0;2;27;2;-
Stráž nad Ohří;555584;482;256;255;13;0;12;10;31;5;2;0;0;0;22;1;11;114;1;0;2;0;1;28;2;-
Stružná;555592;450;247;247;12;0;4;23;16;0;4;3;1;0;26;0;7;109;2;5;3;0;1;31;0;-
Šemnice;555614;517;292;290;47;2;13;15;25;9;4;7;0;1;27;2;10;81;0;9;1;1;0;32;4;-
Štědrá;555622;467;216;213;8;0;10;4;26;4;8;2;1;0;16;1;3;79;1;4;1;2;0;43;0;-
Teplička;537845;92;62;61;7;0;2;0;2;1;1;0;0;0;7;0;5;25;0;1;0;0;0;10;0;-
Toužim;555657;2974;1493;1483;130;5;125;41;165;15;11;24;0;1;139;6;27;578;4;46;6;4;3;151;2;-
Útvina;555681;460;271;268;6;1;15;7;43;7;3;2;0;0;27;0;10;97;0;4;3;2;0;41;0;-
Valeč;555690;286;165;164;6;0;6;14;20;7;5;0;0;0;25;0;1;57;1;3;0;0;0;19;0;-
Velichov;555703;433;263;261;14;1;17;18;16;3;4;2;3;0;17;0;9;98;0;1;4;1;4;49;0;-
Verušičky;555711;403;178;178;4;2;6;50;33;0;8;1;0;1;5;0;3;39;0;6;0;0;1;19;0;-
Vojkovice;555738;505;267;266;6;0;20;12;20;3;2;0;0;0;41;1;10;111;0;2;0;1;1;36;0;-
Vrbice;566675;152;63;63;1;0;4;7;13;0;0;0;0;0;1;0;1;26;0;4;0;0;0;6;0;-
Vysoká Pec;578029;274;168;168;9;2;2;11;14;9;0;0;0;0;25;1;11;43;1;6;0;0;0;33;1;-
Žlutice;555762;1998;974;963;58;6;61;38;97;10;9;7;1;2;58;0;39;361;4;66;2;3;4;136;1;-
